地区,年份,年末常住人口万人,民用汽车拥有量万辆,公路客运量万人,交通事故直接财产损失总计万元,交通事故受伤人数总计人,交通事故死亡人数总计人,交通事故发生数总计起
四川省,2013,8109,573.03,124145,5910.5,11414,2658,9571
贵州省,2013,3632,201,77359,1477.9,1677,847,1241
云南省,2013,4641,374.01,43392,2051.6,4573,1747,3748
西藏自治区,2013,317,26.72,1326,865.1,881,290,717
陕西省,2013,3804,336.08,63650,3696.2,5452,1800,5952
甘肃省,2013,2537,156.38,33556,1212.2,3336,1435,2915
青海省,2013,571,58.84,4140,645.2,1233,532,1065
宁夏回族自治区,2013,666,79.23,7568,799.5,2179,400,1794
新疆维吾尔自治区,2013,2285,236.96,38640,1319.3,5647,1929,4944
北京市,2012,2078,493.56,132333,3017.9,3613,918,3196
天津市,2012,1378,221.12,24483,3396.9,3429,848,3101
河北省,2012,7262,728.51,97218,5022.3,4738,2503,5285
山西省,2012,3548,329.95,33662,3528.5,5982,2294,5587
内蒙古自治区,2012,2464,266.08,23310,1878.1,4108,1202,3957
辽宁省,2012,4375,414.88,90650,2914.7,5609,2024,5984
吉林省,2012,2698,209.49,66175,5128.4,2773,1388,2820
黑龙江省,2012,3724,259.87,41551,3962,3431,1192,3285
上海市,2012,2399,212.66,3748,1488,2053,916,2256
江苏省,2012,8120,802.2,255358,7198.6,12478,4733,13517
浙江省,2012,5685,773.56,220517,8054.5,19729,4962,19270
安徽省,2012,5978,303.13,206888,10726.6,21109,2691,18076
福建省,2012,3841,283.92,75044,3939.7,11410,2473,9942
江西省,2012,4475,201.64,77650,4549.8,3394,1399,3103
山东省,2012,9708,1027.16,254711,5260.3,12710,3838,13275
河南省,2012,9532,581.95,197785,2825.7,7144,1636,6732
湖北省,2012,5781,293.64,118369,5391.1,6818,1822,6009
湖南省,2012,6590,308.14,174386,6685.1,11741,1956,8748
广东省,2012,11041,1037.42,556510,8005.2,29099,5714,25720
广西壮族自治区,2012,4694,227.44,86449,1543.7,4304,2184,3984
海南省,2012,910,55.46,44374,939.9,2372,457,1752
重庆市,2012,2975,159.36,152249,1735.7,8548,980,5791
四川省,2012,8085,493.22,266338,6704.4,12046,2708,10024
贵州省,2012,3587,164.36,77172,1698.4,1982,931,1360
云南省,2012,4631,328.53,44839,2881.1,5053,1768,3941
西藏自治区,2012,315,22.77,3739,935,809,335,725
陕西省,2012,3787,284.64,105647,4015,5505,1804,5996
甘肃省,2012,2550,129.14,61884,1659.7,3345,1438,2954
青海省,2012,571,49.13,12100,453.2,1410,536,1096
宁夏回族自治区,2012,659,66.35,15666,707.2,2122,404,1767
新疆维吾尔自治区,2012,2253,203.82,36206,1242.6,5463,1943,4943
北京市,2011,2024,470.53,129918,1946.8,4503,924,3934
天津市,2011,1341,190.78,22054,2170.8,2875,908,2600
河北省,2011,7232,607.19,91857,3372.3,4661,2602,5197
山西省,2011,3562,295.33,32866,3113,7212,2308,6239
内蒙古自治区,2011,2470,233.15,21807,2335.7,4866,1270,4591
辽宁省,2011,4379,356.75,86013,2745.2,6184,2090,6446
吉林省,2011,2725,183,61830,5971.5,4034,1424,3639
黑龙江省,2011,3782,231.1,39424,4560.2,3595,1302,3435
上海市,2011,2356,194.75,3477,1295.8,1749,944,2085
江苏省,2011,8023,675.18,235673,6012.7,12460,4899,13436
浙江省,2011,5570,656.8,218415,8453.8,21263,5235,20178
安徽省,2011,5972,258.62,179440,4837.4,16493,2758,14005
福建省,2011,3784,239.93,73259,4691.3,13705,2680,11517
江西省,2011,4474,171.55,72527,4857.1,3910,1507,3354
山东省,2011,9665,851.12,241457,5050.7,12902,3974,13375
河南省,2011,9461,501.28,184213,3617.3,7398,1670,6877
湖北省,2011,5760,249.49,104971,4030,7609,1909,6490
湖南省,2011,6581,258.22,161980,5170.5,11037,2039,8118
广东省,2011,10756,910.93,493618,9358.7,31015,5873,26586
广西壮族自治区,2011,4655,187.75,79300,1622.6,4885,2287,4290
海南省,2011,890,47.81,43677,554.9,2421,473,1737
重庆市,2011,2944,129.68,136142,1363.5,8528,985,5729
四川省,2011,8064,422.17,242615,7330.9,14982,2805,11860
贵州省,2011,3530,136.37,66303,1611.4,2270,1020,1566
云南省,2011,4620,280.04,41394,2688.6,6467,1806,5022
西藏自治区,2011,309,19.92,3659,689.3,1013,317,943
陕西省,2011,3765,236.43,101062,3331.9,6087,1893,6362
甘肃省,2011,2552,105.59,58355,2839.5,3578,1505,3027
青海省,2011,568,39.85,11308,455,1420,559,1163
宁夏回族自治区,2011,648,53.35,14440,763.6,2404,428,1829
新疆维吾尔自治区,2011,2225,161.66,33166,1031,5895,1993,5182
北京市,2010,1962,449.72,126130,2431.3,4857,974,4279
天津市,2010,1299,158.24,21883,1987.1,3671,950,3165
河北省,2010,7194,492.88,83289,3890.8,5785,2693,5959
山西省,2010,3574,247.89,32606,3593.7,8200,2449,6962
内蒙古自治区,2010,2472,187.8,19830,2359.8,5202,1375,4780
辽宁省,2010,4375,296.32,87699,3124.9,6428,2129,6781
吉林省,2010,2747,152.89,58577,2666.1,5178,1454,4438
黑龙江省,2010,3833,194.79,36001,2456.6,3740,1395,3466
上海市,2010,2303,175.51,3634,956.6,1862,1009,2176
江苏省,2010,7869,550.8,215850,4951.1,13234,5031,13793
浙江省,2010,5447,542.05,215708,9047.2,23589,5382,21698
安徽省,2010,5957,209.81,153697,2417.7,9596,2877,7901
福建省,2010,3693,197.08,70714,4839.2,15430,2822,12714
江西省,2010,4462,137.43,70628,4184,4938,1603,4126
山东省,2010,9588,705.89,240044,5261.2,14611,4268,14560
河南省,2010,9405,399.73,158630,3186.8,8710,1825,7890
湖北省,2010,5728,207.49,96873,3436.5,7884,1944,6543
湖南省,2010,6570,211.06,148235,4104.4,11621,2162,8413
广东省,2010,10441,782.26,442224,8048.8,36518,6203,30370
广西壮族自治区,2010,4610,152.06,72208,1678.4,5375,2342,4351
海南省,2010,869,39.24,42785,552.6,2205,471,1488
重庆市,2010,2885,114.3,122125,1225.9,8728,1017,5908
四川省,2010,8045,354.97,230988,5398.5,16980,2931,13072
贵州省,2010,3479,115.76,65452,1296,2906,1136,1764
